president,subgroup,modeldate,startdate,enddate,pollster,grade,samplesize,population,weight,influence,approve,disapprove,adjusted_approve,adjusted_disapprove,multiversions,tracking,url,poll_id,question_id,createddate,timestamp
Joseph R. Biden Jr.,All polls,10/21/2021,1/19/2021,1/21/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.33818752,0,48,45,50.390734,38.763284,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74247,139395,1/22/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,1/19/2021,1/21/2021,Morning Consult,B,15000,a,.25936103,0,50,28,48.4994,31.234009,"",T,https://morningconsult.com/form/global-leader-approval/,74272,139491,1/28/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,1/20/2021,1/22/2021,Morning Consult,B,15000,a,.23326085,0,51,28,49.4994,31.234009,"",T,https://morningconsult.com/form/global-leader-approval/,74273,139492,1/28/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,1/20/2021,1/21/2021,Morning Consult,B,1993,rv,.09297777,0,56,31,54.4994,34.234009,"","",https://assets.morningconsult.com/wp-uploads/2021/01/21155806/210166_crosstabs_MC_WASHINGTON_RVs_v2.pdf,74246,139394,1/22/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,1/20/2021,1/21/2021,Ipsos,B-,1115,a,1.1013975,0,55,32,53.816283,32.975794,"","",https://www.ipsos.com/sites/default/files/ct/news/documents/2021-01/2021_reuters_tracking_-_core_political_presidential_approval_tracker_01_22_2021.pdf,74248,139404,1/22/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,1/20/2021,1/21/2021,YouGov,B+,1516,a,1.2454012,0,45,28,46.359575,28.478771,"","",https://docs.cdn.yougov.com/u3h9dresbn/20210120_yahoo_coronavirus_toplines.pdf,74327,139570,2/2/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,1/21/2021,1/23/2021,Morning Consult,B,15000,a,.21460409,0,52,29,50.4994,32.234009,"",T,https://morningconsult.com/form/global-leader-approval/,74274,139493,1/28/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,1/21/2021,1/23/2021,RMG Research,B-,1200,rv,.8806739,0,58,32,56.792526,33.115065,"","",https://justthenews.com/politics-policy/polling/poll-nearly-third-voters-disapprove-bidens-job-performance-so-far,74270,139489,1/28/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,1/21/2021,1/22/2021,HarrisX,B+,941,rv,1.041367,0,63,37,58.654705,38.046383,"","",https://thehill.com/hilltv/what-americas-thinking/535742-poll-president-bidens-first-approval-of-his-term-at-63-percent,74256,139422,1/25/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,1/20/2021,1/24/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.1776436,0,48,47,50.390734,40.763284,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74249,139406,1/25/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,1/20/2021,1/26/2021,Echelon Insights,B/C,1006,rv,1.1879702,0,55,33,54.094809,32.557637,"","",https://echeloninsights.com/in-the-news/january-omnibus-biden-administration/,74329,139616,2/3/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,1/21/2021,1/25/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.50167279,0,48,47,50.390734,40.763284,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74259,139428,1/26/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,1/22/2021,1/24/2021,Morning Consult,B,15000,a,.19996795,0,53,29,51.4994,32.234009,"",T,https://morningconsult.com/form/global-leader-approval/,74257,139494,1/28/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,1/21/2021,1/24/2021,Monmouth University,A,809,a,1.5307823,0,54,30,54.620923,30.156453,"","",https://www.monmouth.edu/polling-institute/documents/monmouthpoll_us_012721.pdf/,74263,139456,1/27/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,1/22/2021,1/25/2021,Data for Progress,B,1164,lv,1.4552095,0,57,36,55.797269,35.47707,"","",https://www.dataforprogress.org/blog/2021/1/28/fifty-seven-percent-of-voters-approve-of-biden-in-his-first-week-as-president,74271,139490,1/28/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,1/23/2021,1/25/2021,Morning Consult,B,15000,a,.18823914,0,53,30,51.4994,33.234009,"",T,https://morningconsult.com/form/global-leader-approval/,74275,139495,1/28/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,1/22/2021,1/25/2021,Morning Consult,B,1990,rv,.07491918,0,59,32,57.4994,35.234009,"","",https://assets.morningconsult.com/wp-uploads/2021/01/27081057/210182_crosstabs_POLITICO_RVs_v1_AUTO.pdf,74264,139461,1/27/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,1/22/2021,1/25/2021,Morning Consult,B,2200,a,.08282522,0,56,32,54.4994,35.234009,"","",https://assets.morningconsult.com/wp-uploads/2021/02/12185419/210184_crosstabs_MC_ENERGY_Adults_v1-1.pdf,74376,139763,2/15/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,1/24/2021,1/26/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.25591397,0,48,48,50.390734,41.763284,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74261,139433,1/27/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,1/24/2021,1/26/2021,Morning Consult,B,15000,a,.18001159,0,53,30,51.4994,33.234009,"",T,https://morningconsult.com/form/global-leader-approval/,74276,139496,1/28/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,1/24/2021,1/26/2021,YouGov,B+,1500,a,1.077634,0,51,33,52.359575,33.478771,"","",https://docs.cdn.yougov.com/ld46rgtdlz/econTabReport.pdf,74262,139434,1/27/2021,12:10:12 21 Oct 2021
Joseph R. Biden Jr.,All polls,10/21/2021,1/25/2021,1/27/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,.24753628,0,49,48,51.390734,41.763284,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74268,139483,1/28/2021,12:10:12 21 Oct 2021
